Comment,Designator,Footprint,LCSC,Quantity
0603L100SLYR,U2,R0603,C207017,1
0Ω,R5,R_0402,C17168,1
100nF,"C1,C13,C14,C15,C16,C2,C3,C4,C5,C6,C7,C8",C_0402,C1525,12
10uF,"C12,C9",C_0402,C15525,2
15pF,"C10,C11",C_0402,C1548,2
1TS015A-1400-0600-CT,"BOOT1,RESET1",SW-SMD_L3.0-W2.0-LS3.5,C319433,2
1kΩ,"R1,R8",R_0402,C11702,2
33Ω,"R6,R7,R9",R_0402,C25105,3
4.7uF,"C17,C18",C_0603,C19666,2
4.7uF,C19,C_0402,C23733,1
470Ω,"R10,R11,R12,R4",R_0402,C25117,4
5.1kΩ,"R13,R2,R3",R_0402,C25905,3
ABM8-272-T3_C20625731,U1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C20625731,1
AOTA-B201610S3R3-101-T,L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,C42411119,1
DS1021-1X20SF11-B,"U5,U6",HDR-TH_20P-P2.54-V-M,C7430376,2
Green,"D4,D5",D_0805,C2297,2
RP2350A_C42411118,U4,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm_ThermalVias,C42411118,1
TPD2E2U06DCKR,D1,SC-70-3_L2.0-W1.3-P0.65-LS2.1-BL,C1855726,1
TYPE-C-31-M-12,USBC1,USB-C_SMD-TYPE-C-31-M-12_1,C165948,1
W25Q32JVSNIQ,U3,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,C5355146,1
White,D2,D_0805,C34499,1
XC6220B331MR-G,Q1,SOT-25_L3.0-W1.6-P0.95-LS2.8-TL,C86534,1
Yellow,D3,D_0805,C2296,1
