Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,1TS015A-1400-0600-CT,SW-SMD_L3.0-W2.0-LS3.5,143.59,-113.5,-90.0,top
C1,470nF,C_0402,146.2,-95.35,90.0,top
C10,15pF,C_0402,143.9,-110.0,90.0,top
C11,15pF,C_0402,149.6,-109.8,-90.0,top
C12,10uF,C_0402,149.95,-88.35,180.0,top
C13,100nF,C_0402,140.95,-98.95,135.0,top
C14,100nF,C_0402,146.9,-105.9,-90.0,top
C15,100nF,C_0402,153.05,-99.8,45.0,top
C16,100nF,C_0402,146.15,-93.05,-90.0,top
C17,4.7uF,C_0603,149.15,-94.45,0.0,top
C18,4.7uF,C_0603,149.15,-93.05,0.0,top
C19,4.7uF,C_0402,152.65,-94.15,-90.0,top
C2,100nF,C_0402,142.55,-95.35,90.0,top
C3,100nF,C_0402,140.25,-100.7,135.0,top
C4,100nF,C_0402,142.75,-106.65,180.0,top
C5,100nF,C_0402,151.6,-105.85,-45.0,top
C6,100nF,C_0402,153.0,-101.3,45.0,top
C7,100nF,C_0402,151.85,-97.9,45.0,top
C8,100nF,C_0402,152.05,-96.15,45.0,top
C9,10uF,C_0402,149.5,-83.0,180.0,top
D1,TPD2E2U06DCKR,SC-70-3_L2.0-W1.3-P0.65-LS2.1-BL,146.5,-81.3,180.0,top
D2,White,D_0603,141.92,-80.97,90.0,top
D3,Yellow,D_0805,142.475,-117.05,180.0,top
D4,Green,D_0805,146.4,-117.05,0.0,top
D5,Green,D_0805,150.325,-117.05,0.0,top
L1,AOTA-B201610S3R3-101-T,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,149.15,-90.95,180.0,top
Q1,XC6220B331MR-G,SOT-25_L3.0-W1.6-P0.95-LS2.8-TL,149.6,-85.8,-90.0,top
R1,1kΩ,R_0402,149.6,-107.75,90.0,top
R10,470Ω,R_0402,144.4,-120.15,180.0,top
R11,470Ω,R_0402,146.4,-120.15,180.0,top
R12,470Ω,R_0402,148.4,-120.15,180.0,top
R13,5.1kΩ,R_0402,150.8,-109.8,-90.0,top
R2,5.1kΩ,R_0402,144.6,-80.6,-90.0,top
R3,5.1kΩ,R_0402,148.4,-80.6,90.0,top
R4,470Ω,R_0402,143.42,-81.57,90.0,top
R6,33Ω,R_0402,146.65,-88.75,-90.0,top
R7,33Ω,R_0402,147.6,-88.75,-90.0,top
R8,1kΩ,R_0402,142.75,-110.0,-90.0,top
R9,33Ω,R_0402,151.5,-94.15,-90.0,top
RESET1,1TS015A-1400-0600-CT,SW-SMD_L3.0-W2.0-LS3.5,149.21,-113.5,-90.0,top
U1,ABM8-272-T3_C20625731,CRYSTAL-SMD_4P-L3.2-W2.5-BL,146.865,-108.985,0.0,top
U2,0603L100SLYR,R0603,149.9,-80.8,-90.0,top
U3,W25Q64JVSSIQ_C179171,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,143.2775,-87.95,180.0,top
U4,RP2350A_C42411118,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm_ThermalVias,146.4,-100.55,0.0,top
U5,DS1021-1X20SF11-B,HDR-TH_20P-P2.54-V-M,137.3,-96.0,90.0,top
U6,DS1021-1X20SF11-B,HDR-TH_20P-P2.54-V-M,155.6,-96.0,90.0,top
USBC1,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12_1,146.5,-75.4275,180.0,top
