Comment,Designator,Footprint,LCSC,Quantity
0603L075SLYR,F1,Fuse_0603_1608Metric,C207016,1
100nF,"C1,C2,C21,C23,C24,C25,C26,C27,C28,C29,C3,C30,C31,C32,C9",C_0402,C1525,15
100nF,"C34,C38,C39,C41,C42,C43,C44,C45,C46,C47,C48",C_0402,C307331,11
10kΩ,"R18,R19,R20,R21,R32,R44,R5",R_0402,C25744,7
10kΩ,"R12,R13,R15,R16",R_0603,C25804,4
10uF,"C11,C13,C7,C8",C_0402,C15525,4
120kΩ,"R4,R6",R_0603,C25808,2
12MHz,X1,OSC-SMD_4P-L3.2-W2.5-BL_SIT8008BI,C20625731,1
15pF,"C37,C40",C_0402,C1548,2
1TS015A-1400-0600-CT,"SW1,SW2",SW-SMD_L3.0-W2.0-LS3.5,C319433,2
1kΩ,"R10,R11,R23,R24,R25,R26,R27,R28,R29,R30,R31,R34,R35,R36,R37,R38,R39,R40,R42,R43,R45,R46,R47,R48,R50,R51,R52,R53,R7,R8",R_0402,C11702,30
1uF,"C12,C15,C16,C4",C_0402,C52923,4
2.2uF,"C17,C5",C_0402,C12530,2
2.2uF,"C20,C6",C_0603,C23630,2
27Ω,"R17,R22",R_0603,C25190,2
330kΩ,"R3,R9",R_0603,C23137,2
33Ω,R14,R_0402,C25105,1
4.7kΩ,"R33,R49",R_0402,C25900,2
4.7nF,"C14,C18",C_0402,C1538,2
4.7uF,"C35,C36",C_0603,C19666,2
4.7uF,"C10,C19,C22,C33",C_0402,C23733,4
470Ω,R41,R_0402,C25117,1
5.1kΩ,"R1,R2",R_0402,C25905,2
AOTA-B201610S3R3-101-T,L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,C42411119,1
Blue,D3,D_0603,C7496823,1
"Connector, USB-TYPE-C-16P",J1,TYPE-C-SMD_HX-TYPE-C-16PIN,C2927039,1
GT-3321667P-01,CN2,AUDIO-TH_GT-3321667P-01,C2762984,1
LM27762,U2,WSON-12-1EP_3x2mm_P0.5mm_EP1x2.65_ThermalVias,C473398,1
OPA1612AxD,"U5,U7,U8",WSON-8-1EP_3x3mm_P0.5mm_EP1.2x2mm_ThermalVias,C2058640,3
OPA1622,"U10,U11,U9",Texas_S-PVSON-N10_ThermalVias,C2876559,3
RP2350A-QFN60,U6,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm_ThermalVias,C42411118,1
Red,D2,D_0603,C2286,1
ST-0337D00-071-1A2H,CN1,AUDIO-TH_ST-0337D00-071-1A2H,C2829972,1
TAD5242IRGER,U3,IC_TAD5242IRGER,C42414591,1
TLV76733DRVx,"U1,U4",WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,C2848334,2
TPD1E10B06DPYR,"D10,D11,D6,D7,D8,D9",DIO_TPD1E10B06DPYR,C48260,6
TPD2E001DZDR,D1,SOT192P237X122-4N,C89411,1
Yellow,"D4,D5",D_0603,C89811,2
