Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402,135.425,-106.9,90.0,top
C10,4.7uF,C_0402,137.3,-89.716222,-90.0,top
C11,10uF,C_0402,138.625,-106.9,90.0,top
C12,1uF,C_0402,137.025,-106.9,90.0,top
C13,10uF,C_0402,139.7,-84.1,-90.0,top
C14,4.7nF,C_0402,144.95,-104.225,-90.0,top
C15,1uF,C_0402,137.8,-84.5,0.0,top
C16,1uF,C_0402,135.05,-94.25,-90.0,top
C17,2.2uF,C_0402,139.25,-93.05,-90.0,top
C18,4.7nF,C_0402,139.8875,-103.65,180.0,top
C19,4.7uF,C_0402,138.693778,-89.716222,-90.0,top
C2,100nF,C_0402,122.45,-92.35,90.0,top
C20,2.2uF,C_0603,141.35,-88.15,180.0,top
C21,100nF,C_0402,123.85,-104.45,180.0,top
C22,4.7uF,C_0402,129.65,-111.25,-90.0,top
C23,100nF,C_0402,134.85,-104.65,0.0,top
C24,100nF,C_0402,125.85,-99.65,90.0,top
C25,100nF,C_0402,123.85,-103.65,180.0,top
C26,100nF,C_0402,123.85,-106.05,180.0,top
C27,100nF,C_0402,127.35,-111.75,180.0,top
C28,100nF,C_0402,132.05,-111.25,-90.0,top
C29,100nF,C_0402,134.85,-105.45,0.0,top
C3,100nF,C_0402,134.85,-114.65,180.0,top
C30,100nF,C_0402,134.85,-103.85,0.0,top
C31,100nF,C_0402,134.85,-103.05,0.0,top
C32,100nF,C_0402,145.45,-93.65,-90.0,top
C33,4.7uF,C_0402,133.65,-101.6,-90.0,top
C34,100nF,C_0402,149.9,-96.275,90.0,top
C35,4.7uF,C_0603,131.2,-99.6,0.0,top
C36,4.7uF,C_0603,131.2,-98.4,0.0,top
C37,15pF,C_0402,126.45,-113.55,90.0,top
C38,100nF,C_0402,150.95,-104.45,0.0,top
C39,100nF,C_0402,139.85,-99.45,0.0,top
C4,1uF,C_0402,130.45,-93.25,-90.0,top
C40,15pF,C_0402,128.05,-116.45,0.0,top
C41,100nF,C_0402,145.9,-104.15,-90.0,top
C42,100nF,C_0402,141.65,-95.05,180.0,top
C43,100nF,C_0402,145.85,-109.175,90.0,top
C44,100nF,C_0402,145.05,-109.175,90.0,top
