Comment,Designator,Footprint,LCSC,Quantity
0603L075SLYR,F1,F0603,C207016,1
100nF,"C12,C14,C15,C16,C17,C18,C19,C20,C21,C22,C27,C28,C3,C31,C32,C33,C35,C37,C42,C43,C47",C_0402,C1525,21
10kΩ,R5,R_0402,C25744,1
10uF,"C30,C34,C36,C41,C45,C46,C5,C8",C_0402,C15525,8
120kΩ,"R4,R6",R_0402,C25750,2
15pF,"C26,C29",C_0402,C1548,2
1TS015A-1400-0600-CT,"SW1,SW2",SW-SMD_L3.0-W2.0-LS3.5,C319433,2
1kΩ,"R12,R13,R16,R17,R18,R19,R20,R21,R8",R_0402,C11702,9
1uF,"C1,C4,C9",C_0402,C52923,3
2.2nF,"C38,C39",C_0402,C1531,2
2.2uF,"C2,C40,C44",C_0402,C12530,3
2.2uF,"C11,C6",C_0603,C23630,2
27Ω,"R10,R11",R_0603,C25190,2
2kΩ,"R14,R15",R_0402,C4109,2
330kΩ,"R3,R7",R_0402,C25778,2
33Ω,R9,R_0402,C25105,1
4.7uF,"C24,C25",C_0603,C19666,2
4.7uF,"C10,C13,C23,C7",C_0402,C23733,4
47kΩ,R22,R_0402,C25792,1
5.1kΩ,"R1,R2",R_0402,C25905,2
ABM8-272-T3_C20625731,U5,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C20625731,1
AOTA-B201610S3R3-101-T,L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,C42411119,1
AudioJack4,J2,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,C95562,1
"Connector, USB-TYPE-C-16P",J1,TYPE-C-SMD_HX-TYPE-C-16PIN,C5178539,1
LM27762,U3,WSON-12-1EP_3x2mm_P0.5mm_EP1x2.65_ThermalVias,C473398,1
OPA1622IDRCR,U8,IC_OPA1622IDRCR,C2876559,1
OPA1652AIDR,U6,SOIC127P599X175-8N,C30025,1
PCM5102A,U7,TSSOP-20_4.4x6.5mm_P0.65mm,C107671,1
RP2354A-QFN60,U4,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm_ThermalVias,C41378174,1
RS6011DP6002,VR1,RS6011DP6002,C470553,1
TLV76733DRVx,"U1,U2",WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,C2848334,2
TPD1E10B06DPYR,"D4,D5",DIO_TPD1E10B06DPYR,C48260,2
TPD2E001DZDR,D1,SOT192P237X122-4N,C89411,1
WS2812B,"D2,D3",LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,C5349954,2
~,FB1,FB_0603,C1002,1
