Comment,Designator,Footprint,LCSC,Quantity
0603L050SLYR,F1,F0603,C207014,1
100nF,"C10,C12,C13,C14,C15,C16,C17,C18,C19,C20,C27,C28,C29,C32,C37,C42",C_0402,C1525,16
10kΩ,R5,R_0402,C25744,1
10uF,"C38,C4,C40,C5,C7",C_0402,C15525,5
10uF,C30,C_0603,C19702,1
10uF,"C26,C31,C36,C41",C_CASE-A-3216-18(mm),C7171,4
15pF,"C24,C25",C_0402,C1548,2
1TS015A-1400-0600-CT,"SW1,SW2",SW-SMD_L3.0-W2.0-LS3.5,C319433,2
1kΩ,"R12,R13,R14,R15,R16,R17,R18,R19,R8",R_0402,C11702,9
1uF,"C1,C3,C6",C_0402,C52923,3
2.2nF,"C33,C34",C_0402,C1531,2
2.2uF,"C2,C35,C39",C_0402,C12530,3
20kΩ,"R4,R6",R_0402,C25765,2
27Ω,"R10,R11",R_0603,C25190,2
33Ω,R9,R_0402,C25105,1
4.7uF,"C22,C23",C_0603,C19666,2
4.7uF,"C11,C21,C8,C9",C_0402,C23733,4
47kΩ,R20,R_0402,C25792,1
5.1kΩ,"R1,R2",R_0402,C25905,2
56kΩ,R3,R_0402,C25796,1
75kΩ,R7,R_0402,C25798,1
ABM8-272-T3_C20625731,U6,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C20625731,1
AOTA-B201610S3R3-101-T,L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,C42411119,1
AudioJack4,J3,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,C95562,1
Conn_01x03,J2,PinHeader_1x03_P2.54mm_Vertical,C41425306,1
"Connector, USB-TYPE-C-16P",J1,TYPE-C-SMD_HX-TYPE-C-16PIN,C5178539,1
LM27762,U4,WSON-12-1EP_3x2mm_P0.5mm_EP1x2.65_ThermalVias,C473398,1
OPA1622IDRCR,U9,IC_OPA1622IDRCR,C2876559,1
OPA2141AIDR,U7,SOIC127P599X175-8N,C527492,1
PCM5102A,U8,TSSOP-20_4.4x6.5mm_P0.65mm,C107671,1
RP2354A-QFN60,U5,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm_ThermalVias,C41378174,1
RS6011DP6002,VR1,RS6011DP6002,C470553,1
TLV76733DRVx,"U1,U3",WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,C2848334,2
TPD2E001DZDR,D1,SOT192P237X122-4N,C89411,1
~,FB1,FB_0603,C1002,1
