Comment,Designator,Footprint,LCSC,Quantity
0603L075SLYR,F1,F0603,C207016,1
100nF,"C11,C13,C14,C15,C16,C17,C18,C19,C20,C21,C28,C29,C3,C30,C32,C34,C39,C40,C44",C_0402,C1525,19
10kΩ,R5,R_0402,C25744,1
10uF,"C27,C31,C33,C38,C42,C43,C5,C6,C8",C_0402,C15525,9
120kΩ,"R4,R6",R_0402,C25750,2
15pF,"C25,C26",C_0402,C1548,2
1TS015A-1400-0600-CT,"SW1,SW2",SW-SMD_L3.0-W2.0-LS3.5,C319433,2
1kΩ,"R12,R13,R14,R15,R16,R17,R18,R19,R8",R_0402,C11702,9
1uF,"C1,C4,C7",C_0402,C52923,3
2.2nF,"C35,C36",C_0402,C1531,2
2.2uF,"C2,C37,C41",C_0402,C12530,3
27Ω,"R10,R11",R_0603,C25190,2
330kΩ,"R3,R7",R_0402,C25778,2
33Ω,R9,R_0402,C25105,1
4.7uF,"C23,C24",C_0603,C19666,2
4.7uF,"C10,C12,C22",C_0402,C23733,3
470nF,C9,C_0402,C47339,1
47kΩ,R20,R_0402,C25792,1
5.1kΩ,"R1,R2",R_0402,C25905,2
ABM8-272-T3_C20625731,U5,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C20625731,1
AOTA-B201610S3R3-101-T,L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,C42411119,1
AudioJack4,J3,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,C95562,1
Conn_01x03,J2,PinHeader_1x03_P2.54mm_Vertical,C41425306,1
"Connector, USB-TYPE-C-16P",J1,TYPE-C-SMD_HX-TYPE-C-16PIN,C5178539,1
LM27762,U3,WSON-12-1EP_3x2mm_P0.5mm_EP1x2.65_ThermalVias,C473398,1
OPA1622IDRCR,U8,IC_OPA1622IDRCR,C2876559,1
OPA1652AIDR,U6,SOIC127P599X175-8N,C30025,1
PCM5102A,U7,TSSOP-20_4.4x6.5mm_P0.65mm,C107671,1
RP2354A-QFN60,U4,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm_ThermalVias,C41378174,1
RS6011DP6002,VR1,RS6011DP6002,C470553,1
TLV76733DRVx,"U1,U2",WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,C2848334,2
TPD1E10B06DPYR,"D2,D3",DIO_TPD1E10B06DPYR,C48260,2
TPD2E001DZDR,D1,SOT192P237X122-4N,C89411,1
~,FB1,FB_0603,C1002,1
