Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402,141.0,-68.35,-90.0,top
C10,4.7uF,C_0402,140.02,-110.21,-90.0,top
C11,100nF,C_0402,127.85,-79.95,180.0,top
C12,4.7uF,C_0402,134.34,-87.45,-90.0,top
C13,100nF,C_0402,139.85,-80.15,0.0,top
C14,100nF,C_0402,132.15,-75.25,180.0,top
C15,100nF,C_0402,127.85,-77.9,180.0,top
C16,100nF,C_0402,127.9,-81.95,180.0,top
C17,100nF,C_0402,129.85,-85.65,180.0,top
C18,100nF,C_0402,137.1,-86.15,-90.0,top
C19,100nF,C_0402,139.85,-81.15,0.0,top
C2,2.2uF,C_0402,139.1,-71.35,0.0,top
C20,100nF,C_0402,139.25,-78.25,0.0,top
C21,100nF,C_0402,139.25,-77.35,0.0,top
C22,4.7uF,C_0402,138.75,-74.25,90.0,top
C23,4.7uF,C_0603,136.02,-75.4,0.0,top
C24,4.7uF,C_0603,136.02,-74.05,0.0,top
C25,15pF,C_0402,127.85,-89.9,90.0,top
C26,15pF,C_0402,134.35,-89.65,-90.0,top
C27,10uF,C_0402,138.2,-118.3,180.0,top
C28,100nF,C_0402,138.2,-117.4,180.0,top
C29,100nF,C_0402,125.59,-108.85,-90.0,top
C3,100nF,C_0402,129.1,-62.5,180.0,top
C30,100nF,C_0402,124.49,-101.65,-90.0,top
C31,10uF,C_0402,132.1,-111.1,0.0,top
C32,100nF,C_0402,132.1,-112.0,0.0,top
C33,10uF,C_0402,129.8,-123.78,0.0,top
C34,100nF,C_0402,129.8,-124.68,0.0,top
C35,2.2nF,C_0402,137.43,-123.835,-90.0,top
C36,2.2nF,C_0402,126.73,-120.63,90.0,top
C37,2.2uF,C_0402,127.89,-109.35,0.0,top
C38,10uF,C_0402,135.7,-130.6,0.0,top
C39,100nF,C_0402,135.7,-131.55,0.0,top
C4,1uF,C_0402,129.6,-96.55,180.0,top
C40,100nF,C_0402,132.75,-97.12,0.0,top
C41,2.2uF,C_0402,128.39,-110.9,-90.0,top
C42,10uF,C_0402,126.3,-131.85,-90.0,top
C43,10uF,C_0402,135.7,-128.0,0.0,top
C44,100nF,C_0402,135.7,-128.9,0.0,top
C5,10uF,C_0402,124.5,-97.75,90.0,top
C6,10uF,C_0402,138.59,-110.59826,0.0,top
C7,1uF,C_0402,138.59,-109.70826,0.0,top
C8,10uF,C_0402,138.17,-101.91,0.0,top
C9,470nF,C_0402,138.18,-104.03,0.0,top
D1,TPD2E001DZDR,SOT192P237X122-4N,132.8,-65.275,90.0,top
D2,TPD1E10B06DPYR,DIO_TPD1E10B06DPYR,130.9,-136.8,90.0,top
D3,TPD1E10B06DPYR,DIO_TPD1E10B06DPYR,130.9,-140.8,90.0,top
F1,0603L075SLYR,F0603,137.65,-64.75,0.0,top
FB1,~,FB_0603,132.64,-109.8,180.0,top
J1,"Connector, USB-TYPE-C-16P",TYPE-C-SMD_HX-TYPE-C-16PIN,134.05,-57.9,180.0,top
J2,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,131.75,-93.85,90.0,top
J3,AudioJack4,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,136.95,-140.3,90.0,top
L1,AOTA-B201610S3R3-101-T,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,136.02,-72.4,180.0,top
R1,5.1kΩ,R_0402,135.25,-63.75,-90.0,top
R10,27Ω,R_0603,131.15,-72.68,90.0,top
R11,27Ω,R_0603,132.55,-72.7,90.0,top
R12,1kΩ,R_0402,137.05,-88.15,90.0,top
R13,1kΩ,R_0402,132.7,-86.55,0.0,top
R14,1kΩ,R_0402,127.88,-120.63,-90.0,top
R15,1kΩ,R_0402,137.43,-121.835,-90.0,top
R16,1kΩ,R_0402,128.85,-134.25,90.0,top
R17,1kΩ,R_0402,129.8,-134.25,-90.0,top
R18,1kΩ,R_0402,128.85,-128.25,-90.0,top
R19,1kΩ,R_0402,129.8,-128.25,90.0,top
R2,5.1kΩ,R_0402,129.1,-61.6,180.0,top
R20,47kΩ,R_0402,126.8,-130.45,180.0,top
R3,330kΩ,R_0402,136.25,-110.21,90.0,top
R4,120kΩ,R_0402,137.18,-110.21,-90.0,top
R5,10kΩ,R_0402,138.17,-102.79,180.0,top
R6,120kΩ,R_0402,140.85,-104.2,-90.0,top
R7,330kΩ,R_0402,139.96,-104.2,90.0,top
R8,1kΩ,R_0402,129.95,-75.25,0.0,top
R9,33Ω,R_0402,139.35,-75.75,180.0,top
SW1,1TS015A-1400-0600-CT,SW-SMD_L3.0-W2.0-LS3.5,128.45,-70.35,180.0,top
